date,AUD,BGN,BRL,CAD,CHF,CNY,CZK,DKK,EUR,GBP,HKD,HRK,HUF,IDR,ILS,INR,ISK,JPY,KRW,MXN,MYR,NOK,NZD,PHP,PLN,RON,RUB,SEK,SGD,THB,TRY,USD,ZAR
2024-10-23,1.5073102244,1.8173203445,5.6864007021,1.383700259,0.8667401633,7.1308312405,23.4180336881,6.9186009789,0.9275401454,0.7744301036,7.7671608009,6.5559409276,374.020970336,15610.989424789,3.8002003881,84.0265884776,138.7618584246,152.7527367993,1378.2557040663,19.8241332922,4.3507607681,10.9872518411,1.6652501706,58.1272782698,4.0287406134,4.6131107667,96.0202130735,10.5980216877,1.3228802186,33.7676141576,34.2500051828,1,17.7822634988
2024-10-24,1.5071501577,1.8072502974,5.6658006724,1.3850402137,0.8657101531,7.1182408897,23.2567927802,6.8900010256,0.9237800933,0.7708701298,7.7684011567,6.5258207129,372.0628227803,15557.305620197,3.7894103899,84.0475595742,137.355766132,151.7896067567,1376.3019545351,19.8248620156,4.340930447,10.9373818787,1.6640502131,57.9120193666,4.0122806698,4.5931006527,95.4765371564,10.5598111528,1.3183301888,33.6805339723,34.2806667898,1,17.651152023
2024-10-25,1.5143601744,1.8071101926,5.7090907727,1.3893302624,0.8667201482,7.127030942,23.4158327881,6.912451188,0.9261701772,0.7716800889,7.7704707807,6.532620912,374.4745496798,15659.631292326,3.7839606852,84.085734966,137.8870275179,152.3235433229,1386.8030103715,19.989813866,4.3503605418,10.9778714617,1.6729202893,58.611068059,4.0234706779,4.6076606834,97.2397247005,10.6229719181,1.3204501583,33.7237259085,34.2872843595,1,17.6335020289
2024-10-26,1.5137902893,1.8065003418,5.7069307585,1.3890201609,0.8663901506,7.116971331,23.4022746576,6.9098308927,0.9258201054,0.7713801389,7.7675408042,6.5301509254,374.2512439108,15617.072310445,3.7825307521,84.0539515041,137.8349015514,152.2659592035,1386.2788549416,19.95966231,4.3388905894,10.9737212399,1.6722903036,58.5396968175,4.0219505725,4.6059208459,96.9900775944,10.6189611232,1.3199502008,33.6528957211,34.2756365083,1,17.6279933193
2024-10-27,1.5140902636,1.8073503417,5.7101308866,1.3894502283,0.8684401463,7.1203210438,23.3835723847,6.909041217,0.9262401742,0.7717501496,7.7685708822,6.5332208058,374.0006501725,15624.422867806,3.7343304363,84.0935107205,137.8997871744,152.9604367563,1386.9314491589,19.9509923591,4.3454906679,10.9829811233,1.6722501979,58.5672571985,4.0234504089,4.6074906069,97.0357363833,10.6128412805,1.3228501956,33.7555638067,34.2866734989,1,17.6633027947
2024-10-28,1.5191602517,1.8066402063,5.6984107727,1.3891202747,0.8647800928,7.1272709366,23.4290541146,6.8937707588,0.9244401022,0.7708700839,7.7695713657,6.5257712192,373.2070286741,15711.897977591,3.7268005189,84.0237813855,137.5728730787,153.2006564689,1379.0434162822,20.0122639994,4.3602708003,10.987561547,1.6703402685,58.2276316349,4.0192505512,4.5969305827,97.1986860301,10.6432916641,1.3221801646,33.7672352465,34.2822534638,1,17.7024331723
2024-10-29,1.5243701928,1.8083703616,5.755530798,1.391370206,0.8672500993,7.1274110415,23.4184339253,6.8935008025,0.9238000937,0.7684801345,7.7674908222,6.5055610819,374.1107546639,15738.627360746,3.7256606505,84.0425223522,137.3066509903,153.2864160688,1382.050064865,20.0438023875,4.3720607394,10.9529212027,1.6746702291,58.2384199948,4.0088606359,4.5966507132,97.7368475212,10.6282317786,1.3234701616,33.6564345979,34.2557751822,1,17.6565230835
2024-10-30,1.5212302699,1.8120703248,5.7648109415,1.3905701815,0.8662601695,7.1178411542,23.3282127509,6.8677208544,0.9206501144,0.7716201224,7.7679410891,6.5321109132,375.5243728823,15680.567758238,3.7051505785,84.0491498533,136.8107723337,153.1736818155,1375.5538750133,20.150703503,4.3808106615,10.9581921885,1.6744801774,58.2686582541,4.0077805386,4.5796608688,96.932064359,10.6713813688,1.3218502341,33.7421161265,34.2721360612,1,17.646493439
2024-10-31,1.5200402408,1.7898502624,5.7784509163,1.3932201778,0.8634001206,7.1014712635,23.2410641928,6.8527412495,0.9183601598,0.7753701172,7.7726610498,6.5639208876,375.1470033767,15614.408249006,3.7404004896,84.0397093444,136.4999737936,151.9128707754,1370.7298613043,20.0347438119,4.3721207675,10.9928713466,1.6747802055,58.181210717,3.9979007761,4.5691506017,97.0644421355,10.6434813678,1.319350213,33.8128238324,34.2948737159,1,17.5916120429
2023-11-18,1.5347503018,1.7897803319,4.9060207883,1.3718202276,0.8857301696,7.2100709613,22.4513326677,6.8334207645,0.9162601604,0.80245015,7.7930210132,7.042900927,346.9146101474,15477.782099284,3.7166904346,83.2295613429,140.452447484,149.6284816012,1293.0397098502,17.2225524097,4.6785206862,10.8047020794,1.6687603269,55.5590804168,4.0172404784,4.5524205447,89.6764664709,10.5183018578,1.3418002082,35.1040045329,28.6908830825,1,18.3354721638
2023-11-19,1.53534027,1.7912202541,4.9068908124,1.3722902283,0.8861400999,7.2122612115,22.4019031954,6.8377211562,0.9169601074,0.8031001139,7.7940910013,7.0428407414,346.7258191994,15480.333926237,3.7255806458,83.2393834953,140.5652427574,149.9462133892,1293.339276091,17.2064331338,4.6795506664,10.8168317037,1.6678403293,55.5760683639,4.0174504257,4.5549909015,88.9285224103,10.5243420277,1.3437702468,35.1002365218,28.6781853674,1,18.3370330206
2023-11-20,1.524270282,1.7824602166,4.8530606143,1.3724201969,0.8845901093,7.1691813138,22.3758329505,6.8112410044,0.9136300929,0.7995401475,7.7921410933,7.0430208018,346.6651834333,15428.155505614,3.7082405579,83.3152225189,139.2661947373,148.364957359,1286.059432812,17.1055118772,4.6669809279,10.692161539,1.655790238,55.3833879628,3.9712405892,4.5418206452,88.2323940745,10.4392714591,1.3375901567,35.1690249021,28.7827055726,1,18.3249629199
